timestamp,protocol_version,label_a,label_b,n_games,time_per_move,opening_plies,move_limit,seed,a_wins,b_wins,draws,a_win_rate_pct,avg_plies,a_avg_sec_per_move,b_avg_sec_per_move,a_max_sec_per_move,b_max_sec_per_move,wall_seconds,notes
2026-05-06 13:58:21,v1-2026-04,A_qs_300_seed4002,sunfish_baseline,50,0.1,4,200,4002,19,17,14,52.0,114.3,0.19,0.2138,1.7656,54.1,175.87,week4 exp=A level=qs_300 seed=4002
2026-05-06 14:02:26,v1-2026-04,B_pst_0.7_seed4001,sunfish_baseline,50,0.1,4,200,4001,17,10,23,57.0,101.9,0.1914,0.2753,11.167,212.5986,245.24,week4 exp=B level=pst_0.7 seed=4001
2026-05-06 14:05:20,v1-2026-04,B_pst_0.7_seed4002,sunfish_baseline,50,0.1,4,200,4002,14,21,15,43.0,116.6,0.1992,0.1902,36.5052,34.5064,173.67,week4 exp=B level=pst_0.7 seed=4002
2026-05-06 14:07:45,v1-2026-04,B_pst_1.0_seed4001,sunfish_baseline,50,0.1,4,200,4001,21,17,12,54.0,119.5,0.1836,0.18,22.2989,1.3653,145.56,week4 exp=B level=pst_1.0 seed=4001
2026-05-06 14:10:35,v1-2026-04,B_pst_1.0_seed4002,sunfish_baseline,50,0.1,4,200,4002,17,15,18,52.0,130.6,0.1816,0.1839,1.0718,22.0448,169.72,week4 exp=B level=pst_1.0 seed=4002
2026-05-06 14:13:54,v1-2026-04,B_pst_1.3_seed4001,sunfish_baseline,50,0.1,4,200,4001,13,20,17,43.0,113.9,0.1865,0.2395,8.3459,161.9337,199.44,week4 exp=B level=pst_1.3 seed=4001
2026-05-06 14:16:05,v1-2026-04,B_pst_1.3_seed4002,sunfish_baseline,50,0.1,4,200,4002,17,15,18,52.0,103.0,0.1931,0.1863,12.9405,1.6516,131.11,week4 exp=B level=pst_1.3 seed=4002
2026-05-06 14:19:15,v1-2026-04,C_null_move_on_seed4001,sunfish_baseline,50,0.1,4,200,4001,23,12,15,61.0,129.9,0.1919,0.2049,12.9493,49.9978,189.41,week4 exp=C level=null_move_on seed=4001
2026-05-06 14:23:50,v1-2026-04,C_null_move_on_seed4002,sunfish_baseline,50,0.1,4,200,4002,17,17,16,50.0,116.9,0.1912,0.253,8.4047,195.0713,275.21,week4 exp=C level=null_move_on seed=4002
2026-05-06 14:26:47,v1-2026-04,C_null_move_off_seed4001,sunfish_baseline,50,0.1,4,200,4001,19,16,15,53.0,128.5,0.2179,0.1769,1.3462,7.5994,177.39,week4 exp=C level=null_move_off seed=4001
2026-05-06 14:29:47,v1-2026-04,C_null_move_off_seed4002,sunfish_baseline,50,0.1,4,200,4002,14,22,14,42.0,119.0,0.2175,0.1929,2.2316,46.7681,179.1,week4 exp=C level=null_move_off seed=4002
